Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
MSP,153.0,127.0,980.0,2021,1,Summer,Afternoon,Morning,11.4,10.5,41.8,0.4,0.4,0.0,3.0,51,9.8,21.0,12.8,31.0,0.0,0.0,0.0,0.0,3,8.7,Republic Airline,-0.4999999999999998,-0.8660254037844388,0.8486442574947509,0.5289640103269624
ORD,120.0,87.0,678.0,2022,0,Spring,Morning,Morning,7.1,10.7,41.0,0.3,0.3,0.0,2.0,51,12.6,16.9,29.1,58.0,0.0,0.0,0.0,0.0,3,13.5,American Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.0,1.0
FLL,163.0,150.0,992.0,2024,0,Winter,Morning,Morning,-24.0,11.7,34.9,0.0,0.0,0.0,0.0,3,18.4,15.1,20.4,39.6,0.0,0.0,0.0,0.0,0,10.9,Spirit Air Lines,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306
CLT,96.0,74.0,449.0,2025,1,Summer,Morning,Morning,12.9,16.6,47.5,0.0,0.0,0.0,0.0,1,13.2,27.2,18.8,43.6,0.0,0.0,0.0,0.0,2,11.0,American Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.8486442574947509,0.5289640103269624
ORD,123.0,89.0,678.0,2024,0,Fall,Morning,Morning,-2.3,8.5,25.9,0.2,0.2,0.0,2.0,51,10.9,13.8,15.3,34.6,0.0,0.0,0.0,0.0,3,10.2,American Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.0,1.0
MHT,84.0,65.0,289.0,2020,0,Summer,Morning,Morning,5.0,9.0,34.6,5.1,5.1,0.0,10.0,61,8.4,19.2,16.5,41.4,0.0,0.0,0.0,0.0,3,9.5,PSA Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.5712682150947923,0.8207634412072763
CLT,99.0,65.0,449.0,2025,0,Spring,Night,Night,-12.4,8.6,24.8,0.0,0.0,0.0,0.0,1,13.5,16.7,31.6,66.6,0.1,0.1,0.0,1.0,51,9.8,American Airlines Inc.,1.0,6.123233995736766e-17,0.5712682150947923,0.8207634412072763
DTW,93.0,74.0,453.0,2023,0,Fall,Evening,Afternoon,-3.6,17.8,84.2,0.7,0.0,0.49,3.0,73,12.899999999999999,1.3,18.4,39.6,0.2,0.0,0.14,2.0,71,8.100000000000001,American Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945
BNA,125.0,97.0,675.0,2024,1,Fall,Afternoon,Morning,-4.6,9.5,27.4,0.8,0.0,0.56,2.0,73,6.8,18.7,16.0,33.5,1.0,1.0,0.0,5.0,51,6.300000000000001,Southwest Airlines Co.,-0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624
ORD,129.0,84.0,678.0,2021,0,Fall,Night,Evening,-14.4,10.6,74.5,0.0,0.0,0.0,0.0,2,10.7,2.8,30.3,60.8,0.0,0.0,0.0,0.0,3,9.0,American Airlines Inc.,-0.5000000000000004,0.8660254037844384,0.5712682150947923,0.8207634412072763
