Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
ACK,104.0,65.0,289.0,2021,0,Summer,Evening,Afternoon,7.2,7.9,37.1,2.6,2.6,0.0,12.0,53,8.1,22.4,25.6,38.9,0.0,0.0,0.0,0.0,3,1.3999999999999986,Republic Airline,-0.8660254037844384,-0.5000000000000004,0.0,1.0
CVG,107.0,70.0,507.0,2024,0,Fall,Morning,Morning,6.4,9.9,54.0,0.0,0.0,0.0,0.0,1,12.4,20.1,14.4,25.9,0.3,0.3,0.0,3.0,51,6.400000000000002,PSA Airlines Inc.,-1.0,-1.8369701987210297e-16,0.39435585511331855,0.9189578116202306
SAN,320.0,286.0,2370.0,2020,0,Summer,Afternoon,Morning,11.1,11.1,46.1,0.0,0.0,0.0,0.0,3,11.9,20.0,17.7,36.0,0.0,0.0,0.0,0.0,1,7.300000000000001,American Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.72479278722912,0.6889669190756866
HOU,195.0,178.0,1335.0,2023,0,Fall,Evening,Afternoon,-5.3,8.1,26.3,0.0,0.0,0.0,0.0,0,14.6,15.8,13.0,24.8,0.0,0.0,0.0,0.0,3,13.8,Southwest Airlines Co.,-0.5000000000000004,0.8660254037844384,0.72479278722912,0.6889669190756866
BGR,113.0,84.0,473.0,2021,0,Summer,Evening,Afternoon,6.0,10.3,41.0,4.6,4.6,0.0,9.0,63,9.9,20.0,13.7,31.7,0.1,0.1,0.0,1.0,51,11.299999999999999,PSA Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.39435585511331855,0.9189578116202306
FLL,179.0,136.0,992.0,2025,1,Spring,Morning,Morning,-11.0,13.7,66.2,0.4,0.0,0.28,4.0,71,16.700000000000003,24.0,12.6,31.3,0.0,0.0,0.0,0.0,1,13.100000000000001,American Airlines Inc.,1.0,6.123233995736766e-17,0.9377521321470804,0.3473052528448203
MSN,130.0,98.0,764.0,2021,0,Spring,Evening,Afternoon,3.9,8.7,49.0,1.3,1.3,0.0,6.0,51,10.8,15.8,18.8,38.2,0.0,0.0,0.0,0.0,3,11.200000000000001,PSA Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.0,1.0
MKE,129.0,97.0,690.0,2022,1,Summer,Evening,Afternoon,7.2,5.8,34.9,2.6,2.4,0.14,4.0,71,9.2,22.3,25.6,45.0,0.0,0.0,0.0,0.0,3,8.400000000000002,PSA Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.9377521321470804,0.3473052528448203
BNA,115.0,93.0,675.0,2023,1,Fall,Night,Evening,-6.3,9.3,28.4,0.0,0.0,0.0,0.0,3,9.5,14.3,8.3,18.7,0.0,0.0,0.0,0.0,3,13.7,Southwest Airlines Co.,-0.5000000000000004,0.8660254037844384,0.9377521321470804,0.3473052528448203
DCA,52.0,33.0,119.0,2021,0,Spring,Morning,Morning,1.4,9.0,47.5,2.2,2.1,0.07,7.0,71,12.6,12.7,11.5,29.5,8.7,8.7,0.0,6.0,63,10.5,PSA Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.72479278722912,0.6889669190756866
MCO,152.0,119.0,861.0,2024,0,Fall,Evening,Evening,-2.9,10.9,50.8,0.1,0.0,0.07,1.0,71,11.0,23.3,15.5,31.3,0.0,0.0,0.0,0.0,2,8.0,Frontier Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306
MSP,159.0,123.0,980.0,2021,1,Spring,Night,Evening,-6.7,11.9,51.1,1.2,0.0,0.84,8.0,73,9.799999999999999,13.4,14.9,34.6,0.0,0.0,0.0,0.0,3,14.899999999999999,SkyWest Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.9377521321470804,0.3473052528448203
RSW,163.0,138.0,993.0,2021,0,Summer,Morning,Morning,9.1,10.2,41.4,0.4,0.4,0.0,4.0,51,11.5,26.4,13.9,35.6,4.8,4.8,0.0,9.0,63,8.900000000000002,American Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.39435585511331855,0.9189578116202306
DFW,191.0,151.0,1303.0,2024,0,Fall,Night,Evening,-6.4,8.4,27.4,0.0,0.0,0.0,0.0,2,12.3,21.4,24.3,41.0,19.7,19.7,0.0,7.0,65,13.8,American Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
MKE,124.0,89.0,690.0,2021,1,Fall,Evening,Afternoon,-14.7,11.3,26.3,0.0,0.0,0.0,0.0,3,17.0,8.5,30.8,49.7,3.4,3.4,0.0,7.0,61,7.0,PSA Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203
